50,10,10
50,100,10
50,1000,10
50,10000,10
50,50000,10
50,100000,10
50,150000,10
50,200000,10
50,225000,10
50,250000,30
100,10,10
100,100,10
100,1000,10
100,10000,10
100,50000,10
100,100000,10
100,150000,10
100,200000,10
100,225000,20
100,250000,60
500,10,10
500,100,10
500,1000,10
500,10000,10
500,50000,10
500,100000,20
500,150000,30
500,200000,40
500,225000,70
500,250000,260
1000,10,10
1000,100,10
1000,1000,10
1000,10000,10
1000,50000,20
1000,100000,40
1000,150000,50
1000,200000,70
1000,225000,130
1000,250000,520
5000,10,10
5000,100,20
5000,1000,20
5000,10000,30
5000,50000,80
5000,100000,160
5000,150000,240
5000,200000,350
5000,225000,640
5000,250000,2590
10000,10,20
10000,100,30
10000,1000,40
10000,10000,60
10000,50000,160
10000,100000,320
10000,150000,480
10000,200000,690
10000,225000,1270
10000,250000,5180
20000,10,40
20000,100,50
20000,1000,70
20000,10000,110
20000,50000,320
20000,100000,640
20000,150000,960
20000,200000,1380
20000,225000,2530
20000,250000,10350
30000,10,60
30000,100,70
30000,1000,100
30000,10000,170
30000,50000,480
30000,100000,960
30000,150000,1440
30000,200000,2060
30000,225000,3800
30000,250000,15520
40000,10,70
40000,100,90
40000,1000,130
40000,10000,220
40000,50000,640
40000,100000,1280
40000,150000,1920
40000,200000,2750
40000,225000,5060
40000,250000,20700
50000,10,90
50000,100,120
50000,1000,160
50000,10000,280
50000,50000,800
50000,100000,1600
50000,150000,2400
50000,200000,3430
50000,225000,6330
50000,250000,25870
